Github slug,Module Name,T-value,Generated orders path,"Polluter,cleaner,victim,brittle info path",Original order path,Static pair path
https://github.com/doanduyhai/Achilles,integration-test-3_7,2,/home/mpious/Documents/orderlist/orders/inter-orders/doanduyhai_Achilles-integration-test-3_7-e3099bd-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/doanduyhai_Achilles-integration-test-3_7-e3099bd-original_order,/home/mpious/Documents/orderlist/data/pairs/doanduyhai/Achilles/integration-test-3_7/pairs-e3099bd
https://github.com/apache/dubbo,dubbo-filter-cache,2,/home/mpious/Documents/orderlist/orders/inter-orders/apache_dubbo-dubbo-filter_dubbo-filter-cache-737f7a7-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/apache_dubbo-dubbo-filter_dubbo-filter-cache-737f7a7-original_order,/home/mpious/Documents/orderlist/data/pairs/apache/dubbo/dubbo-filter/dubbo-filter-cache/pairs-737f7a7
https://github.com/apache/dubbo,dubbo-serialization-fst,2,/home/mpious/Documents/orderlist/orders/inter-orders/apache_dubbo-dubbo-serialization_dubbo-serialization-fst-737f7a7-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/apache_dubbo-dubbo-serialization_dubbo-serialization-fst-737f7a7-original_order,/home/mpious/Documents/orderlist/data/pairs/apache/dubbo/dubbo-serialization/dubbo-serialization-fst/pairs-737f7a7
https://github.com/wikidata/wikidata-toolkit,wdtk-util,2,/home/mpious/Documents/orderlist/orders/inter-orders/wikidata_wikidata-toolkit-wdtk-util-20de6f7-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/wikidata_wikidata-toolkit-wdtk-util-20de6f7-original_order,/home/mpious/Documents/orderlist/data/pairs/wikidata/wikidata-toolkit/wdtk-util/pairs-20de6f7
https://github.com/doanduyhai/Achilles,integration-test-3_10,2,/home/mpious/Documents/orderlist/orders/inter-orders/doanduyhai_Achilles-integration-test-3_10-e3099bd-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/doanduyhai_Achilles-integration-test-3_10-e3099bd-original_order,/home/mpious/Documents/orderlist/data/pairs/doanduyhai/Achilles/integration-test-3_10/pairs-e3099bd
https://github.com/doanduyhai/Achilles,integration-test-2_2,2,/home/mpious/Documents/orderlist/orders/inter-orders/doanduyhai_Achilles-integration-test-2_2-e3099bd-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/doanduyhai_Achilles-integration-test-2_2-e3099bd-original_order,/home/mpious/Documents/orderlist/data/pairs/doanduyhai/Achilles/integration-test-2_2/pairs-e3099bd
https://github.com/hexagonframework/spring-data-ebean,,2,/home/mpious/Documents/orderlist/orders/inter-orders/hexagonframework_spring-data-ebean-.-dd11b97-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/hexagonframework_spring-data-ebean-.-dd11b97-original_order,/home/mpious/Documents/orderlist/data/pairs/hexagonframework/spring-data-ebean/pairs-dd11b97
https://github.com/kevinsawicki/http-request,lib,2,/home/mpious/Documents/orderlist/orders/inter-orders/kevinsawicki_http-request-lib-2d62a3e-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/kevinsawicki_http-request-lib-2d62a3e-original_order,/home/mpious/Documents/orderlist/data/pairs/kevinsawicki/http-request/lib/pairs-2d62a3e
https://github.com/wildfly/wildfly,subsystem,2,/home/mpious/Documents/orderlist/orders/inter-orders/wildfly_wildfly-security_subsystem-b19048b-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/wildfly_wildfly-security_subsystem-b19048b-original_order,/home/mpious/Documents/orderlist/data/pairs/wildfly/wildfly/security/subsystem/pairs-b19048b
https://github.com/zalando/riptide,riptide-spring-boot-starter,2,/home/mpious/Documents/orderlist/orders/inter-orders/zalando_riptide-riptide-spring-boot-starter-8277e11-inter-orders/,/home/mpious/Documents/sortOrders/all-polluter-cleaner-info-combined.csv,/home/mpious/Documents/orderlist/data/original-orders/zalando_riptide-riptide-spring-boot-starter-8277e11-original_order,/home/mpious/Documents/orderlist/data/pairs/zalando/riptide/riptide-spring-boot-starter/pairs-8277e11
