# slug, sha, module, main code, test code
Activiti/Activiti,b11f757,./activiti-spring-boot-starter,665,1066
alibaba/fastjson,5c6d6fd,.,41528,128626
apache/hadoop,cc2babc,./hadoop-common-project/hadoop-auth,3286,3979
apache/hadoop,cc2babc,./hadoop-hdfs-project/hadoop-hdfs-nfs,4902,2578
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app,19150,21627
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core,51200,11366
apache/hadoop,cc2babc,./hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-hs,6898,7911
apache/dubbo,737f7a7,./dubbo-cluster,2479,3125
apache/dubbo,737f7a7,./dubbo-common,14445,8826
apache/dubbo,737f7a7,./dubbo-config/dubbo-config-api,4194,4141
apache/dubbo,737f7a7,./dubbo-filter/dubbo-filter-cache,475,202
apache/dubbo,737f7a7,./dubbo-rpc/dubbo-rpc-api,3733,1636
apache/dubbo,737f7a7,./dubbo-rpc/dubbo-rpc-dubbo,2705,1984
apache/dubbo,737f7a7,./dubbo-serialization/dubbo-serialization-fst,196,354
Apache/Struts,13d9053,./plugins/portlet,3019,1721
c2mon/c2mon,d80687b,./c2mon-server/c2mon-server-elasticsearch,1608,682
ctco/cukes,b483e1a,./cukes-http,1453,366
doanduyhai/Achilles,e3099bd,./integration-test-2_1,2440,6535
doanduyhai/Achilles,e3099bd,./integration-test-2_2,242,615
doanduyhai/Achilles,e3099bd,./integration-test-3_10,57,450
doanduyhai/Achilles,e3099bd,./integration-test-3_7,70,124
dropwizard/dropwizard,07dfaed,./dropwizard-logging,1722,1610
elasticjob/elastic-job-lite,b022898,./elastic-job-lite-core,5323,7235
fhoeben/hsac-fitnesse-fixtures,a64c18d,.,15566,3311
hexagonframework/spring-data-ebean,dd11b97,.,2709,783
jhipster/jhipster-registry,00db366,.,2571,971
kevinsawicki/http-request,2d62a3e,./lib,1391,2721
ktuukkan/marine-api,af00038,.,8544,7328
openpojo/openpojo,9badbcc,.,8169,14832
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-actuator-autoconfigure,9112,15111
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot,27795,29386
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-test-autoconfigure,3954,5385
spring-projects/spring-boot,daa3d45,./spring-boot-project/spring-boot-test,5646,7924
spring-projects/spring-data-envers,5637994,.,258,380
spring-projects/spring-ws,e8d89c9,./spring-ws-core,17276,13395
spring-projects/spring-ws,e8d89c9,./spring-ws-security,3401,2833
tbsalling/aismessages,7b0c4c7,.,5097,1042
tools4j/unix4j,367da7d,./unix4j-core/unix4j-command,4617,4306
vmware/admiral,e4b0293,./compute,25871,16802
vmware/admiral,e4b0293,./request,17513,13357
wikidata/wikidata-toolkit,20de6f7,./wdtk-dumpfiles,2134,1282
wikidata/wikidata-toolkit,20de6f7,./wdtk-util,572,457
wildfly/wildfly,b19048b,./naming,6975,1932
wildfly/wildfly,b19048b,./security/subsystem,9301,871
wro4j/wro4j,185ab60,./wro4j-core,13430,13085
wso2/carbon-apimgt,a82213e,./components/apimgt/org.wso2.carbon.apimgt.core,33740,16891
zalando/riptide,8277e11,./riptide-spring-boot-starter,1148,1391
